date,index,ratio,odds,hcount,before,after,
2014/11/2,2,0.207,4.6,16,1800486,372468,
2014/11/2,3,0.104,7.6,16,372468,38608,
2014/11/2,4,0.352,3.0,15,38608,13577,
2014/11/2,5,0.097,11.0,18,13577,1322,
2014/11/9,1,0.295,2.5,17,6460318,1906040,
2014/11/9,2,0.070,7.0,17,1906040,133314,
2014/11/9,3,0.340,2.5,15,133314,45352,
2014/11/9,4,0.208,4.9,18,45352,9417,
2014/11/9,5,0.148,5.5,16,9417,1395,
2014/11/16,1,0.316,2.5,15,6753477,2134533,
2014/11/16,2,0.104,7.1,14,2134533,221486,
2014/11/16,3,0.080,9.8,16,221486,17620,
2014/11/16,4,0.010,54.3,17,17620,178,
2014/11/16,5,0.129,6.8,18,178,23,
2014/11/23,1,0.107,7.6,9,5880452,627887,
2014/11/23,2,0.014,34.2,16,627887,9036,
2014/11/23,3,0.008,311.5,16,9036,75,
2014/11/23,4,0.067,27.6,16,75,5,
2014/11/23,5,0.000,18.1,17,5,0,
2014/11/24,1,0.121,7.3,12,11496896,1392045,
2014/11/24,2,0.148,5.6,16,1392045,206496,
2014/11/24,3,0.324,2.9,16,206496,66827,
2014/11/24,4,0.092,8.1,13,66827,6172,
2014/11/24,5,0.128,7.7,16,6172,789,
2014/11/30,1,0.023,27.4,15,7180911,164197,
2014/11/30,2,0.051,14.0,16,164197,8397,
2014/11/30,3,0.127,4.7,16,8397,1067,
2014/11/30,4,0.074,8.9,17,1067,79,
2014/11/30,5,0.051,11.3,18,79,4,
2014/12/7,1,0.064,11.2,8,6583019,422295,
2014/12/7,2,0.124,7.5,16,422295,52173,
2014/12/7,3,0.023,25.7,14,52173,1213,
2014/12/7,4,0.121,5.9,16,1213,147,
2014/12/7,5,0.204,2.9,11,147,30,
2014/12/14,1,0.369,2.0,14,6408366,2366815,
2014/12/14,2,0.075,8.7,14,2366815,178277,
2014/12/14,3,0.023,46.8,15,178277,4086,
2014/12/14,4,0.055,11.7,13,4086,225,
2014/12/14,5,0.071,9.8,18,225,16,
2014/12/21,1,0.151,5.4,16,6814541,1031954,
2014/12/21,2,0.052,12.9,13,1031954,53462,
2014/12/21,3,0.299,2.2,13,53462,15971,
2014/12/21,4,0.404,2.3,9,15971,6455,
2014/12/21,5,0.201,4.6,18,6455,1295,
2014/12/28,1,0.076,11.1,16,9714416,738165,
2014/12/28,2,0.228,3.4,16,738165,168544,
2014/12/28,3,0.151,4.5,17,168544,25422,
2014/12/28,4,0.094,7.9,12,25422,2398,
2014/12/28,5,0.064,8.7,16,2398,153,
2015/1/4,1,0.179,4.2,8,6703698,1199018,
2015/1/4,2,0.309,2.5,9,1199018,370492,
2015/1/4,3,0.141,6.9,14,370492,52330,
2015/1/4,4,0.127,6.1,17,52330,6640,
2015/1/4,5,0.112,7.1,18,6640,743,
2015/1/11,1,0.128,5.5,16,6342201,814247,
2015/1/11,2,0.024,28.0,12,814247,19238,
2015/1/11,3,0.186,3.8,16,19238,3570,
2015/1/11,4,0.050,19.0,16,3570,179,
2015/1/11,5,0.151,5.0,12,179,27,
2015/1/12,1,0.244,3.0,12,5531115,1347662,
2015/1/12,2,0.161,5.3,12,1347662,217285,
2015/1/12,3,0.292,3.7,14,217285,63443,
2015/1/12,4,0.022,34.9,16,63443,1390,
2015/1/12,5,0.398,3.1,16,1390,553,
2015/1/18,1,0.139,5.3,13,6440817,892332,
2015/1/18,2,0.344,3.2,13,892332,307238,
